ClassID,UserID,ActivityID,SubmitTime,SelfCheck,SelfCheckDateTime
370,3323,13384,2021-05-18T12:01:59,NULL,NULL
370,3323,13386,2021-05-18T12:04:30,NULL,NULL
370,3323,13389,2021-05-18T12:05:13,NULL,NULL
370,3323,13402,2021-05-18T12:02:52,NULL,NULL
370,3323,13403,2021-05-18T12:03:30,NULL,NULL
370,3323,13405,2021-05-18T12:00:48,NULL,NULL
370,3323,13407,2021-05-18T12:05:35,NULL,NULL
370,3323,13408,2021-05-18T12:05:57,NULL,NULL
370,3323,13410,2021-05-18T12:08:02,NULL,NULL
370,3323,13411,2021-05-18T12:08:24,NULL,NULL
370,3323,13415,2021-05-18T12:03:54,NULL,NULL
370,3323,13420,2021-05-18T12:09:03,NULL,NULL
370,3323,13422,2021-05-18T12:09:23,NULL,NULL
370,3323,13425,2021-05-18T12:06:32,NULL,NULL
370,3323,13426,2021-05-18T12:07:22,NULL,NULL
370,3323,13427,2021-05-18T12:07:41,NULL,NULL
370,3323,13428,2021-05-18T12:09:46,NULL,NULL
370,3323,13429,2021-05-18T12:10:11,NULL,NULL
370,3323,13431,2021-05-18T12:10:33,NULL,NULL
370,3323,13433,2021-05-18T12:10:57,NULL,NULL
370,3323,13442,2021-05-18T12:11:30,NULL,NULL
370,3323,13443,2021-05-18T12:11:46,NULL,NULL
370,3323,13445,2021-05-18T12:12:04,NULL,NULL
370,3323,13447,2021-05-18T12:12:22,NULL,NULL
370,3323,13451,2021-05-18T12:12:36,NULL,NULL
370,3323,13452,2021-05-18T12:12:53,NULL,NULL
370,3323,13453,2021-05-18T12:13:08,NULL,NULL
370,3323,13456,2021-05-18T12:13:55,NULL,NULL
370,3323,13459,2021-05-18T12:14:08,NULL,NULL
370,3323,13461,2021-05-18T12:14:23,NULL,NULL
370,3323,13463,2021-05-18T12:14:40,NULL,NULL
370,3323,13465,2021-05-18T12:14:57,NULL,NULL
370,3323,13468,2021-05-18T12:15:21,NULL,NULL
370,3323,13472,2021-05-18T12:16:52,NULL,NULL
370,3323,13474,2021-05-18T12:17:05,NULL,NULL
370,3323,13476,2021-05-18T12:17:21,NULL,NULL
370,3323,13484,2021-05-18T12:16:11,NULL,NULL
370,3745,13384,2021-03-18T15:25:24,NULL,NULL
370,3745,13386,2021-03-20T14:03:01,NULL,NULL
370,3745,13389,2021-03-19T09:45:27,NULL,NULL
370,3745,13402,2021-03-18T15:50:20,NULL,NULL
370,3745,13403,2021-03-19T09:25:59,NULL,NULL
370,3745,13405,2021-03-16T23:01:03,NULL,NULL
370,3745,13407,2021-03-19T09:57:29,NULL,NULL
370,3745,13408,2021-03-19T10:04:39,NULL,NULL
370,3745,13410,2021-03-19T10:46:46,NULL,NULL
370,3745,13411,2021-03-19T10:55:28,NULL,NULL
370,3745,13415,2021-03-20T14:39:39,NULL,NULL
370,3745,13420,2021-03-20T11:46:32,NULL,NULL
370,3745,13422,2021-03-20T13:13:15,NULL,NULL
370,3745,13425,2021-03-19T10:12:36,NULL,NULL
370,3745,13426,2021-03-19T10:22:35,NULL,NULL
370,3745,13427,2021-03-19T10:29:20,NULL,NULL
370,3745,13428,2021-03-20T13:41:28,NULL,NULL
370,3745,13429,2021-03-20T13:49:10,NULL,NULL
370,3745,13433,2021-03-29T13:11:21,NULL,NULL
370,3745,13442,2021-03-22T08:15:12,NULL,NULL
370,3745,13445,2021-03-22T08:22:12,NULL,NULL
370,3745,13447,2021-03-22T08:34:05,NULL,NULL
370,3745,13451,2021-03-22T08:45:32,NULL,NULL
370,3745,13452,2021-04-01T14:44:06,NULL,NULL
370,3745,13456,2021-04-15T14:58:58,NULL,NULL
370,3745,13459,2021-04-15T15:20:28,NULL,NULL
370,3745,13461,2021-04-15T15:32:30,NULL,NULL
370,3745,13463,2021-04-15T15:54:51,NULL,NULL
370,3745,13508,2021-03-17T07:19:13,NULL,NULL
370,3745,13509,2021-03-17T07:46:48,NULL,NULL
370,3745,13512,2021-03-17T08:19:36,NULL,NULL
370,3745,13514,2021-03-18T14:47:18,NULL,NULL
370,3745,13516,2021-03-18T15:13:00,NULL,NULL
370,7766,13405,2021-03-16T16:02:42,NULL,NULL
370,7766,13508,2021-03-16T17:13:16,NULL,NULL
370,7766,13509,2021-03-16T17:36:55,NULL,NULL
370,7766,13512,2021-03-16T18:03:34,NULL,NULL
370,7766,13514,2021-03-16T22:19:38,NULL,NULL
370,7803,13384,2021-03-15T15:35:24,NULL,NULL
370,7803,13386,2021-03-18T18:08:42,NULL,NULL
370,7803,13389,2021-03-18T19:00:02,NULL,NULL
370,7803,13402,2021-03-15T15:37:37,NULL,NULL
370,7803,13403,2021-03-15T15:39:52,NULL,NULL
370,7803,13405,2021-03-15T12:14:30,NULL,NULL
370,7803,13407,2021-03-18T19:08:56,NULL,NULL
370,7803,13408,2021-03-25T08:31:38,NULL,NULL
370,7803,13410,2021-03-25T09:06:24,NULL,NULL
370,7803,13411,2021-03-25T09:08:09,NULL,NULL
370,7803,13415,2021-03-18T18:07:08,NULL,NULL
370,7803,13420,2021-03-25T09:22:37,NULL,NULL
370,7803,13422,2021-03-30T16:07:10,NULL,NULL
370,7803,13425,2021-03-25T08:56:24,NULL,NULL
370,7803,13426,2021-03-25T09:04:45,NULL,NULL
370,7803,13427,2021-03-25T09:05:32,NULL,NULL
370,7803,13428,2021-03-30T16:09:14,NULL,NULL
370,7803,13429,2021-03-30T16:10:19,NULL,NULL
370,7803,13431,2021-03-30T16:14:34,NULL,NULL
370,7803,13433,2021-03-30T16:16:11,NULL,NULL
370,7803,13436,2021-03-30T16:33:54,NULL,NULL
370,7803,13438,2021-04-08T23:57:01,NULL,NULL
370,7803,13442,2021-04-08T23:32:59,NULL,NULL
370,7803,13443,2021-04-15T17:50:59,NULL,NULL
370,7803,13445,2021-04-08T23:51:26,NULL,NULL
370,7803,13447,2021-04-08T23:52:04,NULL,NULL
370,7803,13451,2021-04-08T23:52:49,NULL,NULL
370,7803,13452,2021-04-08T23:54:02,NULL,NULL
370,7803,13453,2021-04-08T23:55:22,NULL,NULL
370,7803,13456,2021-04-15T17:42:32,NULL,NULL
370,7803,13459,2021-04-15T17:44:13,NULL,NULL
370,7803,13461,2021-04-15T17:45:32,NULL,NULL
370,7803,13463,2021-04-15T17:47:06,NULL,NULL
370,7803,13465,2021-04-15T17:47:50,NULL,NULL
370,7803,13468,2021-04-15T17:48:35,NULL,NULL
370,7803,13472,2021-04-22T20:34:32,NULL,NULL
370,7803,13474,2021-04-22T20:35:36,NULL,NULL
370,7803,13476,2021-04-22T20:36:24,NULL,NULL
370,7803,13480,2021-05-06T11:38:17,NULL,NULL
370,7803,13481,2021-04-22T20:41:29,NULL,NULL
370,7803,13486,2021-05-13T21:32:45,NULL,NULL
370,7803,13488,2021-05-13T21:33:52,NULL,NULL
370,7803,13490,2021-05-13T21:36:22,NULL,NULL
370,7803,13492,2021-05-13T21:39:01,NULL,NULL
370,7803,13494,2021-05-13T21:39:26,NULL,NULL
370,7803,13496,2021-05-27T17:58:52,NULL,NULL
370,7803,13498,2021-05-30T13:38:47,NULL,NULL
370,7803,13500,2021-05-30T13:40:54,NULL,NULL
370,7803,13503,2021-05-30T13:54:32,NULL,NULL
370,7803,13508,2021-03-15T15:26:14,NULL,NULL
370,7803,13509,2021-03-15T15:33:15,NULL,NULL
370,7803,13512,2021-03-15T15:14:53,NULL,NULL
370,7803,13514,2021-03-15T15:18:37,NULL,NULL
370,7803,13516,2021-03-15T15:19:28,NULL,NULL
370,7811,13405,2021-04-20T19:39:34,NULL,NULL
370,7811,13508,2021-04-20T20:04:03,NULL,NULL
370,7811,13509,2021-04-20T20:40:38,NULL,NULL
370,7811,13512,2021-04-20T21:03:02,NULL,NULL
370,7811,13514,2021-04-20T21:26:15,NULL,NULL
370,7811,13516,2021-04-20T22:20:17,NULL,NULL
370,7815,13384,2021-05-31T09:09:14,NULL,NULL
370,7815,13386,2021-05-31T09:10:22,NULL,NULL
370,7815,13389,2021-05-31T09:11:03,NULL,NULL
370,7815,13402,2021-05-31T09:09:23,NULL,NULL
370,7815,13403,2021-05-31T09:09:34,NULL,NULL
370,7815,13405,2021-05-31T09:07:36,NULL,NULL
370,7815,13407,2021-05-31T09:11:13,NULL,NULL
370,7815,13408,2021-05-31T09:11:22,NULL,NULL
370,7815,13410,2021-05-31T09:12:01,NULL,NULL
370,7815,13411,2021-05-31T09:12:11,NULL,NULL
370,7815,13415,2021-05-31T09:10:12,NULL,NULL
370,7815,13420,2021-05-31T09:14:46,NULL,NULL
370,7815,13422,2021-05-31T09:15:59,NULL,NULL
370,7815,13425,2021-05-31T09:11:30,NULL,NULL
370,7815,13426,2021-05-31T09:11:41,NULL,NULL
370,7815,13427,2021-05-31T09:11:50,NULL,NULL
370,7815,13428,2021-05-31T09:16:16,NULL,NULL
370,7815,13429,2021-05-31T09:16:44,NULL,NULL
370,7815,13431,2021-05-31T09:26:25,NULL,NULL
370,7815,13433,2021-05-31T09:32:18,NULL,NULL
370,7815,13436,2021-05-31T09:42:58,NULL,NULL
370,7815,13438,2021-05-31T09:50:53,NULL,NULL
370,7815,13442,2021-05-31T10:05:46,NULL,NULL
370,7815,13443,2021-05-31T10:05:57,NULL,NULL
370,7815,13445,2021-05-31T10:11:21,NULL,NULL
370,7815,13447,2021-05-31T10:13:20,NULL,NULL
370,7815,13451,2021-05-31T10:20:32,NULL,NULL
370,7815,13452,2021-05-31T10:26:01,NULL,NULL
370,7815,13453,2021-05-31T11:49:39,NULL,NULL
370,7815,13456,2021-05-31T11:51:27,NULL,NULL
370,7815,13459,2021-05-31T12:13:43,NULL,NULL
370,7815,13461,2021-05-31T12:24:39,NULL,NULL
370,7815,13463,2021-05-31T12:35:37,NULL,NULL
370,7815,13508,2021-05-31T09:07:49,NULL,NULL
370,7815,13509,2021-05-31T09:08:01,NULL,NULL
370,7815,13512,2021-05-31T09:08:11,NULL,NULL
370,7815,13514,2021-05-31T09:08:21,NULL,NULL
370,7815,13516,2021-05-31T09:08:30,NULL,NULL
370,7821,13384,2021-03-14T11:19:40,NULL,NULL
