UserID,ActivityID,ActivityName,ActivityType,EntryTime(Timestamp),Duration,LeaveTime(Timestamp),LeaveTime(ISO),EntryTime(ISO)
8332,13507,控制输出格式,video,1.61547E+12,18,1.61547E+12,2021-03-11T21:54:29,2021-03-11T21:54:11
8332,13509,练习-控制输出格式,assignment,1.61547E+12,7,1.61547E+12,2021-03-11T21:54:41,2021-03-11T21:54:34
8048,13506,练习讲解-计算行程费用,video,1.61547E+12,7,1.61547E+12,2021-03-11T21:54:51,2021-03-11T21:54:44
8332,13510,练习讲解-身高的公/英制转换,video,1.61547E+12,1415,1.61547E+12,2021-03-11T22:18:19,2021-03-11T21:54:44
8048,13508,练习-计算行程费用,assignment,1.61547E+12,51,1.61547E+12,2021-03-11T21:55:50,2021-03-11T21:54:59
8048,13508,练习-计算行程费用,assignment,1.61547E+12,874,1.61547E+12,2021-03-11T22:10:30,2021-03-11T21:55:56
8048,13506,练习讲解-计算行程费用,video,1.61547E+12,233,1.61547E+12,2021-03-11T22:14:31,2021-03-11T22:10:38
8048,13508,练习-计算行程费用,assignment,1.61547E+12,131,1.61547E+12,2021-03-11T22:16:46,2021-03-11T22:14:35
8048,13508,练习-计算行程费用,assignment,1.61547E+12,53,1.61547E+12,2021-03-11T22:17:45,2021-03-11T22:16:52
8332,13509,练习-控制输出格式,assignment,1.61547E+12,537,1.61547E+12,2021-03-11T22:27:22,2021-03-11T22:18:25
8324,13511,不规则面积计算,video,1.61547E+12,1372,1.61547E+12,2021-03-11T22:42:40,2021-03-11T22:19:48
8332,13510,练习讲解-身高的公/英制转换,video,1.61547E+12,172,1.61547E+12,2021-03-11T22:30:21,2021-03-11T22:27:29
8060,13505,计算平均气温,video,1.61547E+12,508,1.61547E+12,2021-03-11T22:36:57,2021-03-11T22:28:29
8332,13509,练习-控制输出格式,assignment,1.61547E+12,91,1.61547E+12,2021-03-11T22:31:55,2021-03-11T22:30:24
8332,13509,练习-控制输出格式,assignment,1.61547E+12,54,1.61547E+12,2021-03-11T22:32:51,2021-03-11T22:31:57
8060,13506,练习讲解-计算行程费用,video,1.61547E+12,4970,1.61548E+12,2021-03-11T23:59:48,2021-03-11T22:36:58
8324,13512,练习-计算总面积,assignment,1.61547E+12,582,1.61547E+12,2021-03-11T22:52:24,2021-03-11T22:42:42
8324,13511,不规则面积计算,video,1.61547E+12,90,1.61547E+12,2021-03-11T22:53:56,2021-03-11T22:52:26
8324,13512,练习-计算总面积,assignment,1.61547E+12,334,1.61547E+12,2021-03-11T22:59:33,2021-03-11T22:53:59
8324,13511,不规则面积计算,video,1.61547E+12,114,1.61547E+12,2021-03-11T23:01:29,2021-03-11T22:59:35
8324,13512,练习-计算总面积,assignment,1.61547E+12,264,1.61548E+12,2021-03-11T23:05:55,2021-03-11T23:01:31
8324,13511,不规则面积计算,video,1.61548E+12,75,1.61548E+12,2021-03-11T23:07:13,2021-03-11T23:05:58
8324,13512,练习-计算总面积,assignment,1.61548E+12,418,1.61548E+12,2021-03-11T23:14:13,2021-03-11T23:07:15
8324,13512,练习-计算总面积,assignment,1.61548E+12,17,1.61548E+12,2021-03-11T23:14:32,2021-03-11T23:14:15
8311,13508,练习-计算行程费用,assignment,1.61548E+12,3327,1.61548E+12,2021-03-12T00:19:21,2021-03-11T23:23:54
8332,13511,不规则面积计算,video,1.61548E+12,36000,1.61551E+12,2021-03-12T09:55:08,2021-03-11T23:55:08
8060,13507,控制输出格式,video,1.61548E+12,255,1.61548E+12,2021-03-12T00:04:05,2021-03-11T23:59:50
8049,13505,计算平均气温,video,1.61551E+12,474,1.61551E+12,2021-03-12T08:43:55,2021-03-12T08:36:01
8049,13508,练习-计算行程费用,assignment,1.61551E+12,73,1.61551E+12,2021-03-12T08:45:10,2021-03-12T08:43:57
8049,13505,计算平均气温,video,1.61551E+12,6,1.61551E+12,2021-03-12T08:45:19,2021-03-12T08:45:13
8049,13508,练习-计算行程费用,assignment,1.61551E+12,369,1.61551E+12,2021-03-12T08:51:30,2021-03-12T08:45:21
